video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,subscriberCount,duration,definition,caption,publishDayName,durationSecs,tagCount,durationS,publishedYear,publishedMonth,durationSeconds
WyWYzO27F60,Twirl With BTS ♡♡,Taehyung said he'll take care of this and ask jk for live.. there smile 😍💜💚💜💚💜💚 #bts #jk #shorts #v,,,2023-02-03 07:04:41+00:00,316,30,,0,,PT15S,hd,FALSE,Friday,0 days 00:00:15,0,15,2023,February,15
nbDmTE07Tjk,Twirl With BTS ♡♡,We all missed you too😫😫❤️❤️❤️❤️❤️#bts#shorts#jk,"Pts LV Concert jungkook full speech eng sub
https://youtu.be/sM4yEm4pOKs



Full English subtitles Instagram Story of jungkook is here -----
https://youtu.be/LXmNrtPyBQQ

https://youtu.be/2iBW6vbtzR8

https://youtu.be/tLGbk1Y6tAE

https://youtu.be/9DVCKRDUopo

Click here👆👆👆👆👆
Watch now
💜💜💜💜💜💜
#bts
#rm
#kimnamjoon
#kimseokjin
#jin
#kimtaehyung
#v
#taehyung
#jeonjungkook
#jk
#jungkook
#jhope
#hobi
#junghoseok
#minyoongi
#suga
#parkjimin
#jimin


Follow Me On Instagram I'd---- ishita_mishra_88","['Bts', 'J hope', 'Suga', 'Jimin', 'Taehyung', 'Kim taehyung', 'Bts Members', 'Jeon jungkook', 'Jungkook', 'Taekook Moment', 'Taekook', 'Vkook', 'Tae crying moment', 'V crying', 'Jungkook comforting tae', 'Jk and v', 'Friendship taekook', 'Love taekook', 'Flirt taekook', 'love me', 'like you do', 'Taekook edit', 'Taekook kiss', 'Vkook edit', 'bts shorts', 'taekook status', 'status', 'Bts dance', 'bts songs', 'bts jalebi baby', 'stay alive BTS', 'idol bts', 'bts song', 'bts Instagram Story', 'bts hot edit', 'bts mna 2020']",2023-02-03 06:33:52+00:00,269,23,,1,,PT29S,hd,FALSE,Friday,0 days 00:00:29,36,29,2023,February,29
00apCDWrxeg,Twirl With BTS ♡♡,It's just amazing 😍😍😍🤩😍😍🔥🔥🔥🔥🔥 #bts #jk #shorts,,,2023-02-02 06:46:40+00:00,887,103,,3,,PT14S,hd,FALSE,Thursday,0 days 00:00:14,0,14,2023,February,14
mIzgiDjq0tU,Twirl With BTS ♡♡,Taekook together 🥺🥺💚💜ohh I can't handle that much happiness 🙈🙈🙈#bts#shorts#jk#v#vkook#taekook,"Pts LV Concert jungkook full speech eng sub
https://youtu.be/sM4yEm4pOKs



Full English subtitles Instagram Story of jungkook is here -----
https://youtu.be/LXmNrtPyBQQ

https://youtu.be/2iBW6vbtzR8

https://youtu.be/tLGbk1Y6tAE

https://youtu.be/9DVCKRDUopo

Click here👆👆👆👆👆
Watch now
💜💜💜💜💜💜
#bts
#rm
#kimnamjoon
#kimseokjin
#jin
#kimtaehyung
#v
#taehyung
#jeonjungkook
#jk
#jungkook
#jhope
#hobi
#junghoseok
#minyoongi
#suga
#parkjimin
#jimin


Follow Me On Instagram I'd---- ishita_mishra_88","['Bts', 'J hope', 'Suga', 'Jimin', 'Taehyung', 'Kim taehyung', 'Bts Members', 'Jeon jungkook', 'Jungkook', 'Taekook Moment', 'Taekook', 'Vkook', 'Tae crying moment', 'V crying', 'Jungkook comforting tae', 'Jk and v', 'Friendship taekook', 'Love taekook', 'Flirt taekook', 'love me', 'like you do', 'Taekook edit', 'Taekook kiss', 'Vkook edit', 'bts shorts', 'taekook status', 'status', 'Bts dance', 'bts songs', 'bts jalebi baby', 'stay alive BTS', 'idol bts', 'bts song', 'bts Instagram Story', 'bts hot edit', 'bts mna 2020']",2023-02-02 05:27:30+00:00,1142,61,,0,,PT15S,hd,FALSE,Thursday,0 days 00:00:15,36,15,2023,February,15
5k-eqG5UKto,Twirl With BTS ♡♡,"Jungkook singing Unholy in his live,😍😍😍🔥🔥🔥🔥🙈🙈🙈🙈🙈 #bts #jk #shorts",,,2023-02-02 04:50:42+00:00,206,36,,0,,PT16S,hd,FALSE,Thursday,0 days 00:00:16,0,16,2023,February,16
ATTDedl0f8I,Twirl With BTS ♡♡,He is something different ❤️❤️❤️❤️❤️ #jk #shorts #bts,,,2023-02-02 03:39:21+00:00,150,26,,0,,PT16S,hd,FALSE,Thursday,0 days 00:00:16,0,16,2023,February,16
mxSu98LcvpE,Twirl With BTS ♡♡,He is in another level 🔥🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️#bts#shorts#v#taehyung,"Pts LV Concert jungkook full speech eng sub
https://youtu.be/sM4yEm4pOKs



Full English subtitles Instagram Story of jungkook is here -----
https://youtu.be/LXmNrtPyBQQ

https://youtu.be/2iBW6vbtzR8

https://youtu.be/tLGbk1Y6tAE

https://youtu.be/9DVCKRDUopo

Click here👆👆👆👆👆
Watch now
💜💜💜💜💜💜
#bts
#rm
#kimnamjoon
#kimseokjin
#jin
#kimtaehyung
#v
#taehyung
#jeonjungkook
#jk
#jungkook
#jhope
#hobi
#junghoseok
#minyoongi
#suga
#parkjimin
#jimin


Follow Me On Instagram I'd---- ishita_mishra_88","['Bts', 'J hope', 'Suga', 'Jimin', 'Taehyung', 'Kim taehyung', 'Bts Members', 'Jeon jungkook', 'Jungkook', 'Taekook Moment', 'Taekook', 'Vkook', 'Tae crying moment', 'V crying', 'Jungkook comforting tae', 'Jk and v', 'Friendship taekook', 'Love taekook', 'Flirt taekook', 'love me', 'like you do', 'Taekook edit', 'Taekook kiss', 'Vkook edit', 'bts shorts', 'taekook status', 'status', 'Bts dance', 'bts songs', 'bts jalebi baby', 'stay alive BTS', 'idol bts', 'bts song', 'bts Instagram Story', 'bts hot edit', 'bts mna 2020']",2023-01-31 12:41:33+00:00,2697,370,,0,,PT10S,hd,FALSE,Tuesday,0 days 00:00:10,36,10,2023,January,10
xLBs9zUevYM,Twirl With BTS ♡♡,Jimin turns cute to hot 🔥🔥🔥🔥🔥🔥#bts#shorts#jimin,"Pts LV Concert jungkook full speech eng sub
https://youtu.be/sM4yEm4pOKs



Full English subtitles Instagram Story of jungkook is here -----
https://youtu.be/LXmNrtPyBQQ

https://youtu.be/2iBW6vbtzR8

https://youtu.be/tLGbk1Y6tAE

https://youtu.be/9DVCKRDUopo

Click here👆👆👆👆👆
Watch now
💜💜💜💜💜💜
#bts
#rm
#kimnamjoon
#kimseokjin
#jin
#kimtaehyung
#v
#taehyung
#jeonjungkook
#jk
#jungkook
#jhope
#hobi
#junghoseok
#minyoongi
#suga
#parkjimin
#jimin


Follow Me On Instagram I'd---- ishita_mishra_88","['Bts', 'J hope', 'Suga', 'Jimin', 'Taehyung', 'Kim taehyung', 'Bts Members', 'Jeon jungkook', 'Jungkook', 'Taekook Moment', 'Taekook', 'Vkook', 'Tae crying moment', 'V crying', 'Jungkook comforting tae', 'Jk and v', 'Friendship taekook', 'Love taekook', 'Flirt taekook', 'love me', 'like you do', 'Taekook edit', 'Taekook kiss', 'Vkook edit', 'bts shorts', 'taekook status', 'status', 'Bts dance', 'bts songs', 'bts jalebi baby', 'stay alive BTS', 'idol bts', 'bts song', 'bts Instagram Story', 'bts hot edit', 'bts mna 2020']",2023-01-29 06:19:58+00:00,2231,203,,1,,PT9S,hd,FALSE,Sunday,0 days 00:00:09,36,9,2023,January,9
YUWSrsDZZL4,Twirl With BTS ♡♡,Jungkook's angry pout😍😍😍😍#bts#shorts#jk,"Pts LV Concert jungkook full speech eng sub
https://youtu.be/sM4yEm4pOKs

Full English subtitles Instagram Story of jungkook is here -----
https://youtu.be/LXmNrtPyBQQ

https://youtu.be/2iBW6vbtzR8

https://youtu.be/tLGbk1Y6tAE

https://youtu.be/9DVCKRDUopo

Click here👆👆👆👆👆
Watch now
💜💜💜💜💜💜
#bts
#rm
#kimnamjoon
#kimseokjin
#jin
#kimtaehyung
#v
#taehyung
#jeonjungkook
#jk
#jungkook
#jhope
#hobi
#junghoseok
#minyoongi
#suga
#parkjimin
#jimin


Follow Me On Instagram I'd---- ishita_mishra_88","['Facts and Fun', 'Shorts', '#shorts', 'Ishitamishra', 'And', 'Videos', 'Jungkook', 'Jeon jungkook', 'Kimtaehyung', 'Kim seok jin', 'Kim namjoon', 'Yoongi min', 'Min yoongi', 'Parkjimin', 'Park jimin', 'Jungkook jeon', 'Jung ho seok', 'J hope', 'Bts', 'Jin', 'Jimin', 'Rm', 'Namjoon', 'Seokjin', 'Mochy', 'Suga', 'August', 'Yoongi', 'Namjin', 'Kookmin', 'Jinkook', 'Then and now', 'Bts Members', 'Member', 'Then BTS Members', '2013 BTS Members', '2021 BTS Members', 'Bts Members stamping', 'Funny video', 'Bts funny moments', 'Funny bts', 'Rm stamping', 'Winter pakage', 'Cute jungkook']",2023-01-28 13:29:35+00:00,2739,398,,1,,PT8S,hd,FALSE,Saturday,0 days 00:00:08,44,8,2023,January,8
OtY2DwzSh54,Twirl With BTS ♡♡,It's so cute when taekook with each other💚💜💚💜 #bts #shorts #taekook #vkook,,,2023-01-28 05:44:56+00:00,7278,633,,0,,PT9S,hd,FALSE,Saturday,0 days 00:00:09,0,9,2023,January,9
